field,title,author,abstract
Systems Biology,Expansion of a bacterial operon during cancer treatment ameliorates drug toxicity,"Kai,Wesley A,Than S,Taylor,Christine A,Edwin F,Cecilia,Vaibhav,Dalila,Paige,Benjamin GH,Peter,Darren,Jessie A,Matthew D,Erin L,Alan P,Chloe E,Peter J,Kai,Wesley A,Than S,Taylor,Christine A,Edwin F,Cecilia,Vaibhav,Dalila,Paige,Benjamin GH,Peter,Darren,Jessie A,Matthew D,Erin L,Alan P,Chloe E,Peter J,Kai,Wesley A,Than S,Taylor,Christine A,Edwin F,Cecilia,Vaibhav,Dalila,Paige,Benjamin GH,Peter,Darren,Jessie A,Matthew D,Erin L,Alan P,Chloe E","Dose-limiting toxicities remain a major barrier to drug development and therapy, revealing the limited predictive power of human genetics. Herein, we demonstrate the utility of a more comprehensive approach to studying drug toxicity through longitudinal study of the human gut microbiome during colorectal cancer (CRC) treatment (​​"
Microbiology,Emergence and host range expansion of an epidemic lineage of Ralstonia solanacearum,"Daria,Yann,Marek,Catrin,Carolin,Marketa,Elena,Yingguang Frank,Stephane,Emmanuel,Honour C,Daria,Yann,Marek,Catrin,Carolin,Marketa,Elena,Yingguang Frank,Stephane,Emmanuel,Honour C,Daria,Yann,Marek,Catrin,Carolin,Marketa,Elena,Yingguang Frank,Stephane,Emmanuel","Members of the Ralstonia solanacearum species complex are soil-borne pathogens of important crop plants. Strain-level host specialisation is considered typical, yet outbreak monitoring in Martinique revealed a new lineage with dramatically expanded host range had emerged. Our analysis shows the outbreak in Martinique was caused by the expansion of lineages from two different Ralstonia species. One lineage is of Asian origin and retains a signature of host specialisation, while the emergent broad host range lineage originated in the Americas. The presence of similar integrative and conjugative elements (ICEs) in both lineages suggests they are exchanging genetic material. The emergent lineage acquired novel prophage along with genes encoding novel catalytic and metabolic functions, but shows little variation among the virulence proteins considered host specificity determinants. We postulate that host range expansion is not caused by the evolution of a virulence strategy targeting host immunity, but is rather due to the acquisition of novel pathways for substrate metabolism enhancing pathogen fitness in soil or plant tissues."
Immunology,Suppression of epithelial proliferation and tumorigenesis by immunoglobulin A,"Gregory P.,Gabriella L.,Marwa,Christopher,Izabela,Guo,Nicole L.,Dayu,Begum,Caroline E.,Tiago B.R.,Sergei,Bernardo S.,Beth M.,Gabriel D.,Daniel,Gregory P.,Gabriella L.,Marwa,Christopher,Izabela,Guo,Nicole L.,Dayu,Begum,Caroline E.,Tiago B.R.,Sergei,Bernardo S.,Beth M.,Gabriel D.,Daniel,Gregory P.,Gabriella L.,Marwa,Christopher,Izabela,Guo,Nicole L.,Dayu,Begum,Caroline E.,Tiago B.R.,Sergei,Bernardo S.,Beth M.,Gabriel D.","Immunoglobulin A (IgA) is the most abundant antibody isotype produced across mammals and plays a specialized role in mucosal homeostasis(1). Constantly secreted into the lumen of the intestine, IgA binds commensal microbiota to regulate their colonization and function(2,3) with unclear implications for health. IgA deficiency is common in humans but is difficult to study due to its complex aetiology and comorbidities(4-8). Using genetically and environmentally controlled mice, here we show that IgA-deficient animals have increased susceptibility to endogenous colorectal tumours. Cellular and molecular analyses revealed that, in the absence of IgA, colonic epithelial cells induce antibacterial factors and accelerate cell cycling in response to the microbiota. Oral treatment with IgA was sufficient to both reduce steady-state proliferation and protect mice from tumours, but this function was due to antibody structure rather than binding specificity. In both organoid and monolayer culture systems, IgA directly suppressed epithelial growth. Co-immunoprecipitation mass spectrometry and a targeted CRISPR screen identified DMBT1 as an IgA-binding epithelial surface protein required for IgA-mediated suppression of proliferation. Together, IgA and DMBT1 regulate Notch signalling and tune the normal cycling of absorptive colonocyte progenitors. In mice, deleting the transmembrane and cytoplasmic signalling portions of DMBT1 or blocking Notch signalling was sufficient to reverse both the increased proliferation and tumour susceptibility of IgA knockouts. These experiments establish a homeostatic function for IgA in tempering physiological epithelial responses to microbiota to maintain mucosal health."
Microbiology,Microbiota from young mice counteracts susceptibility to age-related gout through modulating butyric acid levels in aged mice,"Ning,Hang,Jianhao,Yi,Mingze,Zhiming,Naisheng,Wenlong,Ning,Hang,Jianhao,Yi,Mingze,Zhiming,Naisheng,Wenlong,Ning,Hang,Jianhao,Yi,Mingze,Zhiming,Naisheng","Gout is a prevalent form of inflammatory arthritis that occurs due to high levels of uric acid in the blood leading to the formation of urate crystals in and around the joints, particularly affecting the elderly. Recent research has provided evidence of distinct differences in the gut microbiota of patients with gout and hyperuricemia when compared to healthy individuals. However, the link between gut microbiota and age-related gout remained underexplored. Our study found that gut microbiota plays a crucial role in determining susceptibility to age-related gout. Specifically, we observed that age-related gut microbiota regulated the activation of the NLRP3 inflammasome pathway and modulated uric acid metabolism. More scrutiny highlighted the positive impact of ""younger"" microbiota on the gut microbiota structure of old or aged mice, enhancing butanoate metabolism and butyric acid content. Experimentation with butyrate supplementation indicated that butyric acid exerts a dual effect, inhibiting inflammation in acute gout and reducing serum uric acid levels. These insights emphasize the potential of gut microbiome rejuvenation in mitigating senile gout, unraveling the intricate dynamics between microbiota, aging, and gout. It potentially serves as a therapeutic target for senile gout-related conditions."
Immunology,Cardiolipin Inhibits the Noncanonical Inflammasome by Preventing LPS Binding to Caspase 4/11 to Mitigate Endotoxemia in Vivo,"Malvina,Mercedes,Sabrina Sofia,Jakub,Melan,Jing Rong,Emmanuelle,Joanna,Monalisa,Kirsten M.,Jared R.,Masahiro,Si Ming,Petr,Pablo,Kate,Malvina,Mercedes,Sabrina Sofia,Jakub,Melan,Jing Rong,Emmanuelle,Joanna,Monalisa,Kirsten M.,Jared R.,Masahiro,Si Ming,Petr,Pablo,Kate,Malvina,Mercedes,Sabrina Sofia,Jakub,Melan,Jing Rong,Emmanuelle,Joanna,Monalisa,Kirsten M.,Jared R.,Masahiro,Si Ming,Petr,Pablo","In Gram-negative bacterial sepsis, excessive caspase 4/11 activation in response to circulating bacterial lipid LPS (endotoxemia) can cause organ damage and mortality. Current inhibitors of caspase 4/11 also block caspase 1 activity and are therefore not appealing clinical candidates for treating Gram-negative sepsis. Here, we identify double-unsaturated 18:2 cardiolipin as a selective inhibitor of caspase 4/11-dependent inflammatory cytokine secretion and pyroptosis, without affecting caspase-1 responses. Cardiolipin targets the CARD domain of caspase 4/11, impeding its interaction with LPS to restrain caspase 4/11 activation, thereby suppressing endotoxemia-induced systemic inflammation in vivo. Thus, we present cardiolipin as a promising candidate for preventing endotoxemia-induced sequelae in sepsis while preserving caspase-1-driven anti-microbial immune responses. By identifying cardiolipin as a specific caspase 4/11 inhibitor, we provide an urgently-needed tool for studying caspase 4/11 functions in inflammatory pathways, and open the way to studies of noncanonical inflammasome regulation by endogenous cardiolipin."
Systems Biology,Biotic resistance predictably shifts microbial invasion regimes,"Xiaozhou,Or,Christoph,Xiaozhou,Or,Christoph,Xiaozhou,Or","Invading new territory is a central aspect of the microbial lifestyle, allowing microbes to expand to remote locations and pathogens to spread and infect their hosts. However, invading microbes rarely find novel territories uninhabited. In such a scenario, resident microbes can interact with the newcomers and, in many cases, impede their invasion, an effect known as biotic resistance. Accordingly, invasions are shaped by the interplay between dispersal and resistance. However, these two factors are difficult to disentangle or manipulate in natural systems, making their interplay difficult to understand. To address this challenge, we tracked microbial invasions in the lab over space and time, first in a model system of two interacting microbes, then in a multi-strain system involving a pathogen invading resident communities. In the presence of biotic resistance, we observed three qualitatively different invasion regimes: consistent, pulsed, and pinned, where, in the third regime, strong biotic resistance stalled the invasion entirely despite ongoing invader dispersal. Surprisingly, these rich invasion dynamics could be qualitatively predicted with a simple, parameter-free framework that ignores individual species interactions, even for rather complex communities. Moreover, we showed that this simple framework could accurately predict simulated invasions from different mechanistic models, indicating its broad applicability. Our work offers a thorough understanding of how biotic resistance impacts invasions and introduces a predictive tool to identify invasion-resistant communities."
Microbiology,Fast Evolution of SOS-Independent Multi-Drug Resistance in Bacteria,"Le,Yunpeng,Yuen Yee,Nural N,Amy,Andrew,Elizabeth,Antoine M,Qian Peter,Dayong,Le,Yunpeng,Yuen Yee,Nural N,Amy,Andrew,Elizabeth,Antoine M,Qian Peter,Dayong,Le,Yunpeng,Yuen Yee,Nural N,Amy,Andrew,Elizabeth,Antoine M,Qian Peter","The killing mechanism of many antibiotics involves the induction of DNA damage, either directly or indirectly, which triggers the SOS response. RecA, the master regulator of the SOS response, plays a crucial role in driving the evolution of resistance to fluoroquinolone antibiotics treated with a single dose of ciprofloxacin. However, the precise roles of RecA and SOS responses in the development of resistance under short-term β-lactam exposure remain unclear. In the present study, we observed a fast evolution of β-lactam resistance (20-fold) increase in MIC in 8 hours) in E. coli after deleting RecA and exposing the bacteria to a single dose of ampicillin. Notably, once this type of resistance is established, it remains stable and can be passed on to subsequent generations. Unlike earlier studies, we found that the rapid development of resistance relies on the hindrance of DNA repair, a mechanism that operates independently of the SOS response. Additionally, we identified the rapid emergence of drug resistance associated mutations in the resistant bacterial genome, indicating the impairment of DNA repair. Through comprehensive transcriptome sequencing, we discovered that the expression of numerous antioxidative response genes is repressed in recA mutant resistant isolates, resulting in an excessive accumulation of ROS within the cells. This suggests that the induction of ROS drives the fast evolution of antibiotic resistance in RecA-deficient bacteria. 
Collectively, we show that the hindrance of DNA repair hampers cellular fitness, provides bacteria with genetic adaptability to survive in diverse stressful environments, and accelerates the evolution of antibiotic resistance."
Systems Biology,Systems-level analysis provides insights on methanol-based production of L-glutamate and its decarboxylation product γ-aminobutyric acid by Bacillus methanolicus,"Marta,Ingemar,David,Trygve,Tobias,Dušan,Carsten,Stéphanie,Gregor,Christian,Volker F,Luciana,Cláudia M,Marta,Ingemar,David,Trygve,Tobias,Dušan,Carsten,Stéphanie,Gregor,Christian,Volker F,Luciana,Cláudia M,Marta,Ingemar,David,Trygve,Tobias,Dušan,Carsten,Stéphanie,Gregor,Christian,Volker F,Luciana","Background
Bacillus methanolicus is the next workhorse in biotechnology using methanol, an alternative and economical one-carbon feedstock that can be obtained directly from carbon dioxide, as both carbon and energy source for the production of various value-added chemicals. The wild-type strain B. methanolicus MGA3 naturally overproduces L-glutamate in methanol-based fed-batch fermentations.
Results
Here we generated, by induced mutagenesis, an evolved B. methanolicus strain exhibiting enhanced L-glutamate production capability (>150%). To showcase the potential of this evolved strain, further metabolic engineering enabled the production of γ-aminobutyric acid (GABA) directly from L-glutamate, with a yield of 13.2 g/L from methanol during fed-batch fermentations. By using a systems-level analysis, encompassing whole-genome sequencing, RNA sequencing, fluxome analysis and genome-scale metabolic modelling, we were able to elucidate the metabolic and regulatory adaptations that sustain the biosynthesis of these products. The metabolism of the mutant strain evolved to prioritize energy conservation and efficient carbon utilization. Key metabolic shifts include the downregulation of energy-intensive processes such as flagellation and motility and the rerouting of carbon fluxes towards α-ketoglutarate and its derivative, L-glutamate. Moreover, we observed that transformation of the evolved strain with a GABA biosynthesis plasmid had a positive effect on L-glutamate production, likely due to an upregulation of various transaminases involved in the L-glutamate biosynthesis from α-ketoglutarate.
Conclusions
These results and insights provide a foundation for further rational metabolic engineering and bioprocess optimization, enhancing the industrial viability of B. methanolicus for sustainable production of L-glutamate and its derivatives."
Systems Biology,Lowering the switching cost related to the activation of burdensome gene circuits promotes cell population homogeneity and productivity,"Lucas,Vincent,Juan Andres Martinez,Julian,Samuel,Andrew,Frank,Lucas,Vincent,Juan Andres Martinez,Julian,Samuel,Andrew,Frank,Lucas,Vincent,Juan Andres Martinez,Julian,Samuel,Andrew","The activation of gene circuits can impose a significant burden on cells, leading to heterogeneous expression and reduced productivity. In this work, we focused on the T7 production system in E. coli BL21, a prime example of a burdensome gene circuit, to investigate the main cause for this gene expression heterogeneity and methods to mitigate it. Based on continuous cultivation analyzed and control by automated flow cytometry, we quantified the trade-off between cellular growth and gene expression and tracked the cell-to-cell heterogeneity in gene expression (measured as entropy). We concluded that the growth reduction associated to the activation of the burdensome gene circuit, i.e., the switching cost, is at the origin of the population heterogeneity. The loss of growth rate imposed by the burdensome activation of the gene is compensated at the population level by the overgrowth of less induced cells that safeguard the population by generating entropy. We tried to homogenize the population by pulsing the inducer with increasing frequency but found that the population escapes control through promoter mutation, leading to a genotype exhibiting reduced gene expression, but also, reduced entropy. To engineer a more homogeneous population without sacrificing gene expression, we decreased the switching cost associated to the induction by lowering the quality of the main carbon source. This strategy successfully led to a more homogeneous and productive population. Our approach allows for a precise quantification of the trade-off between growth and gene expression in cell population cultivated under dynamic conditions and highlights the importance of the switching cost for designing efficient approaches of cell population control."
Immunology,"The EZH2 inhibitor tazemetostat mitigates HIV immune evasion, reduces reservoir formation, and promotes durable CD8+ T-cell revitalization","Andrea,Itzayana G,Adam R,Farzana,Tyler J,Jared,Tan T,Paul,Andrew P,Louise,Yanqin,Thais,Dennis C,Uche,Callie,Thomas R,Noemi L,Nathan L,Emma,Sandra,Talia M,Seden,Kiera L,Alberto,Lynsay,Colin M,Doron,Jeffrey R,Mirko,Ali,R. Brad,Andrea,Itzayana G,Adam R,Farzana,Tyler J,Jared,Tan T,Paul,Andrew P,Louise,Yanqin,Thais,Dennis C,Uche,Callie,Thomas R,Noemi L,Nathan L,Emma,Sandra,Talia M,Seden,Kiera L,Alberto,Lynsay,Colin M,Doron,Jeffrey R,Mirko,Ali,R. Brad,Andrea,Itzayana G,Adam R,Farzana,Tyler J,Jared,Tan T,Paul,Andrew P,Louise,Yanqin,Thais,Dennis C,Uche,Callie,Thomas R,Noemi L,Nathan L,Emma,Sandra,Talia M,Seden,Kiera L,Alberto,Lynsay,Colin M,Doron,Jeffrey R,Mirko,Ali","Persistent HIV reservoirs in CD4+ T-cells pose a barrier to curing HIV infection. We identified overexpression of enhancer of zeste homolog 2 (EZH2) in HIV-infected CD4+ T-cells that survive cytotoxic T lymphocyte (CTL) exposure, suggesting a mechanism of CTL resistance. Inhibition of EZH2 with the FDA-approved drug tazemetostat increased surface expression of major histocompatibility complex class I (MHC-I) on CD4+ T-cells, counterbalancing HIV Nef-mediated MHC-I downregulation. This improved CTL-mediated elimination of HIV-infected cells and suppressed viral replication in vitro. In a participant-derived xenograft mouse model, tazemetostat elevated MHC-I and the pro-apoptotic protein BIM in CD4+ T-cells, facilitating CD8+ T-cell-mediated reductions of HIV reservoir seeding. Additionally, tazemetostat promoted sustained skewing of CD8+ T-cells toward less differentiated and exhausted phenotypes. Our findings reveal EZH2 overexpression as a novel mechanism of CTL resistance and support the clinical evaluation of tazemetostat to enhance clearance of HIV reservoirs and improve CD8+ T-cell function."
Microbiology,Mitomycin C Retains Efficacy after Adaptive Laboratory Evolution of Staphylococcus aureus,"Maiken E.,Amanda Batoul,Lars,Nis Pedersen,Rikke Louise,Maiken E.,Amanda Batoul,Lars,Nis Pedersen,Rikke Louise,Maiken E.,Amanda Batoul,Lars,Nis Pedersen","Antibiotic resistance is one of the greatest threats against human health and the misuse and overuse of antibiotics is a key factor driving resistance development. During prolonged antibiotic treatment of chronic infections, the antimicrobial pressure facilitates selection of antibiotic resistance mutations. It has been suggested that using antibiotics in combinations may reduce the emergence of resistance. Furthermore, antibiotic tolerant persister cells may be a reservoir for resistance development, so targeting persister cells with anti-persister drugs could also reduce the emergence of resistance. "
Microbiology,HSV-1 Infection Alters MAPT Splicing and Promotes Tau Pathology in Neural Models of Alzheimer's Disease,"Emmanuel C,Michael J,Celine,Ava R,Timothy,Lianna,Natasha,Adam,Eain,David,Emmanuel C,Michael J,Celine,Ava R,Timothy,Lianna,Natasha,Adam,Eain,David,Emmanuel C,Michael J,Celine,Ava R,Timothy,Lianna,Natasha,Adam,Eain","INTRODUCTION: Herpes simplex virus 1 (HSV-1) infection alters critical markers of Alzheimer's Disease (AD) in neurons. One key marker of AD is the hyperphosphorylation of Tau, accompanied by altered levels of Tau isoforms. However, an imbalance in these Tau splice variants, specifically resulting from altered 3R to 4R MAPT splicing of exon 10, has yet to be directly associated with HSV-1 infection
METHODS: To this end, we infected 2D and 3D human neural models with HSV-1 and monitored MAPT splicing and Tau phosphorylation. Further, we transduced SH-SY5Y-neurons with HSV-1 ICP27 which alters RNA splicing to analyze if ICP27 alone is sufficient to induce altered MAPT exon 10 splicing. 
RESULTS: We show that HSV-1 infection induces altered splicing of MAPT exon 10, increasing 4R-Tau protein levels, Tau hyperphosphorylation, and Tau oligomerization. 
DISCUSSION: Our experiments reveal a novel link between HSV-1 infection and the development of cytopathic phenotypes linked with AD progression."
Immunology,PEPITEM Tripeptides and Peptidomimetics: Next-Generation Modulators of Inflammation in Immune-Mediated Conditions,"Anella,Bonita,Samantha,Laleh,Areeba,Mustafa,Antonio,Myriam,Anna,Noemi,Helen M,Asif J,Francesco,G Ed,Anella,Bonita,Samantha,Laleh,Areeba,Mustafa,Antonio,Myriam,Anna,Noemi,Helen M,Asif J,Francesco,G Ed,Anella,Bonita,Samantha,Laleh,Areeba,Mustafa,Antonio,Myriam,Anna,Noemi,Helen M,Asif J,Francesco","PEPITEM is an immune-modulatory peptide that effectively regulates inflammation and mitigates immune-mediated inflammatory diseases (IMIDs). Here we identify two independently active tripeptide pharmacophores within PEPITEM and engineered peptidomimetics with enhanced pharmacodynamic properties. These peptidomimetics regulate T-cell trafficking in vitro and reduce T-cell, neutrophil and macrophage numbers in the inflamed peritoneal cavity in vivo. In a plaque psoriasis model, topical administration reduced disease severity, inflammation and immune cell infiltration, while regulating cytokine release in macrophages and fibroblasts, as well as keratinocyte proliferation. Th1 and Th17 cell abundance, along with their cytokines, was reduced in secondary lymphoid organs. This expanded functional repertoire of PEPITEM and its derivatives provides innovative tools for countering immune and stromal cell-induced pathology in IMIDs, paving the way for a novel class of anti-inflammatory agents."
Immunology,Intranasal self-amplifying RNA SARS-CoV-2 vaccine produces protective respiratory and systemic immunity and prevents viral transmission,"Madeleine F.,Michael D.,Samuel,Peter,Julie,Derek,Jobaida,Fen,Raodoh,Jasneet,Noah,Darshan N.,Matthew,Sierra,Davies,Isabella R.,Jennifer L.,Jeremy B.,R. Glenn,Kevin S,Aaron,Davide,Alana,Corey,Troy D.,Frances E.,Emily A.,Madeleine F.,Michael D.,Samuel,Peter,Julie,Derek,Jobaida,Fen,Raodoh,Jasneet,Noah,Darshan N.,Matthew,Sierra,Davies,Isabella R.,Jennifer L.,Jeremy B.,R. Glenn,Kevin S,Aaron,Davide,Alana,Corey,Troy D.,Frances E.,Emily A.,Madeleine F.,Michael D.,Samuel,Peter,Julie,Derek,Jobaida,Fen,Raodoh,Jasneet,Noah,Darshan N.,Matthew,Sierra,Davies,Isabella R.,Jennifer L.,Jeremy B.,R. Glenn,Kevin S,Aaron,Davide,Alana,Corey,Troy D.,Frances E.","While mRNA vaccines have been effective in combating SARS-CoV-2, waning of vaccine-induced antibody responses and lack of vaccine-induced respiratory tract immunity contribute to ongoing infection and transmission. In this work, we compare and contrast intranasal (i.n.) and intramuscular (i.m.) administration of a SARS-CoV-2 self-amplifying RNA (saRNA) vaccine delivered by a nanostructured lipid carrier (NLC). Both i.m. and i.n. vaccines induce potent systemic serum neutralizing antibodies, bone marrow-resident IgG-secreting cells, and splenic T cell responses. The i.n. vaccine additionally induces robust respiratory mucosal immune responses, including SARS-CoV-2-reactive lung-resident memory and lung-homing T cell populations. As a booster following previous i.m. vaccination, the i.n. vaccine also elicits the development of mucosal virus-specific T cells. Both the i.m. and i.n. administered vaccines durably protect hamsters from infection-associated morbidity upon viral challenge, significantly reducing viral loads and preventing challenged hamsters from transmitting virus to naive cagemates. This saRNA-NLC vaccine's potent systemic immunogenicity, and additional mucosal immunogenicity when delivered i.n., may be key for combating SARS-CoV-2 and other respiratory pathogens."
Immunology,Cholesterol sulfate prevents maternal-fetal conflict by locally modulating immune reactivity,"Kenichiro,Kazufumi,Rae,Yuki,Keisuke,Masatomo,Yoshihiro,Sayaka,Keisuke,Kenji,Takeshi,Kaori,Fadlina,Kanjiro,Takanatsu,Takeshi,Yasuyuki,Takeshi,Hidehiro,Hiroyuki,Yoshinao,Takehito,Kiyoko,Yoshinori,Kenichiro,Kazufumi,Rae,Yuki,Keisuke,Masatomo,Yoshihiro,Sayaka,Keisuke,Kenji,Takeshi,Kaori,Fadlina,Kanjiro,Takanatsu,Takeshi,Yasuyuki,Takeshi,Hidehiro,Hiroyuki,Yoshinao,Takehito,Kiyoko,Yoshinori,Kenichiro,Kazufumi,Rae,Yuki,Keisuke,Masatomo,Yoshihiro,Sayaka,Keisuke,Kenji,Takeshi,Kaori,Fadlina,Kanjiro,Takanatsu,Takeshi,Yasuyuki,Takeshi,Hidehiro,Hiroyuki,Yoshinao,Takehito,Kiyoko","Although placental mammals are at high risk of maternal-fetal immune conflict, it is unclear how the semi-allogeneic fetus avoids rejection. Cholesterol sulfate (CS) is a bioactive metabolite that inhibits leukocyte migration and activation. This study investigated the roles and cells associated with CS in pregnant mice and humans. CS was sequentially produced by maternal-derived endometrial cells and fetal-derived placental trophoblasts before and after placentation. When mated with allogeneic males, CS-deficient mice showed increased fetal resorption rates under induced placental inflammation. This phenotype disappeared when the activity of the CS-producing enzyme was restored in the placenta. Placental CS levels were reduced in patients with ""villitis of unknown etiology."" Thus, we uncovered the spatiotemporal control of CS production and its relevance to local immunosuppression during pregnancy."
Systems Biology,A theoretical basis for cell deaths,"Yusuke,Shuhei A.,Tetsuya J.,Yusuke,Shuhei A.,Tetsuya J.,Yusuke,Shuhei A.","Understanding deaths and life-death boundaries of cells is a fundamental challenge in biological sciences. In this study, we present a theoretical framework for investigating cell death. We conceptualize cell death as a controllability problem within dynamical systems, and compute the life-death boundary through the development of “stoichiometric rays”. This method utilizes enzyme activity as control parameters, exploiting the inherent property of enzymes to enhance reaction rates without affecting thermodynamic potentials. This approach facilitates the efficient evaluation of the global controllability of models. We demonstrate the utility of our framework using its application to a toy metabolic model, where we delineate the life-death boundary. The formulation of cell death through mathematical principles provides a foundation for the theoretical study of cellular mortality."
Systems Biology,Knockdown proteomics reveals USP7 as a regulator of cell-cell adhesion in colorectal cancer via AJUBA,"Ahood,Ben,Siyuan,Brandon,Paul,Yihua,Rob M.,Ahood,Ben,Siyuan,Brandon,Paul,Yihua,Rob M.,Ahood,Ben,Siyuan,Brandon,Paul,Yihua",: The authors declare that there are no known conflicts of interest
Systems Biology,Scalable enumeration and sampling of minimal metabolic pathways for organisms and communities,"Ove,Axel,Jörg,Ove,Axel,Jörg,Ove,Axel","Many interactions in microbial consortia or tissues of multicellular organisms rely on networks of metabolite exchanges. To predict community function and composition beyond statistical correlations, one can use genome-scale metabolic models. However, comprehensive model analysis via metabolic pathways is a major challenge because pathway counts grow combinatorially with model size. Here, we define minimal pathways that yield compact representations of metabolic network capabilities. They generalize existing pathway concepts by allowing inhomogeneous constraints and targeted analysis of subnetworks, and we show how to enumerate and sample them efficiently via iterative minimization and pathway graphs. This enables applications such as assessing quantitative gene essentiality in the central metabolism of "
Systems Biology,SOX10 and microRNAs: decoding their interplay in regulating melanoma plasticity,"Xin,Chunyan,Zhesi,Anja,Markus V.,Carola,Julio,Xin,Chunyan,Zhesi,Anja,Markus V.,Carola,Julio,Xin,Chunyan,Zhesi,Anja,Markus V.,Carola","Recent studies show that the dysregulation of the transcription factor SOX10 is essential for development and progression of melanoma. MicroRNAs (miRNAs) can regulate the expression of transcription factors at the post-transcriptional level. The interactions between SOX10 and its targeting miRNAs form network motifs such as feedforward and feedback loops. Such motifs can result in non-linear dynamics in gene expression levels, therefore playing a crucial role in regulating tumor proliferation and metastasis as well as tumor’s responses to therapies. Here, we reviewed and discussed the intricate interplay between SOX10 and miRNAs in melanoma biology including melanogenesis, phenotype switch, and therapy resistance. Additionally, we investigated the gene regulatory interactions in melanoma, identifying crucial network motifs that involve both SOX10 and miRNAs. We also analyzed the expression levels of the components within these motifs. From a control theory perspective, we explained how these dynamics are linked to the phenotypic plasticity of melanoma cells. In summary, we underscored the importance of employing a data-driven network biology approach to elucidate the complex regulatory mechanisms and identify driver network motifs within the melanoma network. This methodology facilitates a deeper understanding of the regulation of SOX10 by miRNAs in melanoma. The insight gained could potentially contribute to the development of miRNA-based treatments for SOX10, thereby enhancing the clinical management of this malignancy."
Immunology,Comparative impact of porcine reproductive and respiratory virus and swine influenza A virus infections on respiratory lymph nodes B cells and macrophages,"C.,A.,P.,C.,M.,F.,J.,G.,O.,P.,N.,C.,A.,P.,C.,M.,F.,J.,G.,O.,P.,N.,C.,A.,P.,C.,M.,F.,J.,G.,O.,P.","Porcine Reproductive and Respiratory Syndrome Virus (PRRSV) strongly impacts the pig rearing sector due to its persistence in infected animals. Interestingly, although the PRRSV family exhibits considerable genome variability, with the PRRSV-1 and PRRSV-2 subtypes having been finally classified in two different species (Betaarterivirus suid 1 and 2). Both viruses, as well as their derived-attenuated vaccine strains, persist for months, due in part to their ability to delay the appearance of neutralizing antibodies. Thanks to extensive efforts over the past years, we have developed the capability to perform in-depth analysis of the previously poorly understood porcine inverted lymph node (LN). In this study, by comparing the early stages of LN B cell maturation upon PRRSV-1 infection to those induced upon the acute swine influenza A virus infection, we highlighted PRRSV-specific mechanisms, including the expression of PD-L1 in efferent macrophages, the induction of extrafollicular plasmocytes, and the influx of inflammatory monocytes/macrophages. Studies on PRRSV-2 infections report observations compatible with our results, that thus might be generalized to all PRRSV-strains. Moreover, these mechanisms can be compared with those used by the human immunodeficiency virus (HIV) and the murine chronic lymphocytic choriomeningitis virus (LCMV) to hijack the immune response. These similarities can be harnessed to develop new strategies to improve the development of more efficient anti-PRRSV vaccines."
Immunology,Methylparaben dampens virulence and transmissibility of the ,"Youn,Berta,Christine,Tadeusz J.,Youn,Berta,Christine,Tadeusz J.,Youn,Berta,Christine","In the last 20 years, "
Immunology,Glucose-dependent glycosphingolipid biosynthesis fuels CD8,"Joseph,Lisa M.,Brandon M.,Robert,Alfredo,Michael S.,Abigail E.,Michael P.,Hannah,Kristin L.,Shelby E.,Colt D.,Kelsey S.,Corinne R.,Zachary B.,Hyoungjoo,Dominic G.,Connie M.,Brian B.,Ryan D.,Russell G.,Joseph,Lisa M.,Brandon M.,Robert,Alfredo,Michael S.,Abigail E.,Michael P.,Hannah,Kristin L.,Shelby E.,Colt D.,Kelsey S.,Corinne R.,Zachary B.,Hyoungjoo,Dominic G.,Connie M.,Brian B.,Ryan D.,Russell G.,Joseph,Lisa M.,Brandon M.,Robert,Alfredo,Michael S.,Abigail E.,Michael P.,Hannah,Kristin L.,Shelby E.,Colt D.,Kelsey S.,Corinne R.,Zachary B.,Hyoungjoo,Dominic G.,Connie M.,Brian B.,Ryan D.","Glucose is essential for T cell proliferation and function, yet its specific metabolic roles "
Systems Biology,Regulation of replication timing in Saccharomyces cerevisiae,"Rosie,Eamonn,Francisco,Michael A,Rosie,Eamonn,Francisco,Michael A,Rosie,Eamonn,Francisco","In order to maintain genomic integrity, DNA replication must be highly coordinated. Disruptions in this process can cause replication stress which is aberrant in many pathologies including cancer. Despite this, little is known about the mechanisms governing the temporal regulation of DNA replication initiation, thought to be related to the limited copy number of firing factors. Here, we present a high (1-kilobase) resolution stochastic model of Saccharomyces cerevisiae whole-genome replication in which origins compete to associate with limited firing factors. After developing an algorithm to fit this model to replication timing data, we validated the model by reproducing experimental inter-origin distances, origin efficiencies, and replication fork directionality. This suggests the model accurately simulates the aspects of DNA replication most important for determining its dynamics. We also use the model to predict measures of DNA replication dynamics which are yet to be determined experimentally and investigate the potential impacts of variations in firing factor concentrations on DNA replication."
Systems Biology,Energy-based Analysis of Biochemical Oscillators Using Bond Graphs and Linear Control Theory,"Peter J.,Michael,Peter J.,Michael,Peter J.","The bond graph approach has been recognised as a useful conceptual basis for understanding the behaviour of living entities modelled as a system with hierarchical interacting parts exchanging energy. One such behaviour is oscillation, which underpins many essential biological functions. In this paper, energy-based modelling of biochemical systems using the bond graph approach is combined with classical feedback control theory to give a novel approach to the analysis, and potentially synthesis, of biochemical oscillators. It is shown that oscillation is dependent on the interplay between "
