title,author,abstract
"Big Behavioral Data: Psychology, Ethology and the Foundations of Neuroscience","Alex,Joseph J.,Adam R.,Rui M.,Zachary F.,Alex,Joseph J.,Adam R.,Rui M.,Zachary F.,Alex,Joseph J.,Adam R.,Rui M.,Zachary F.","Behavior is a unifying organismal process through which genes, neural function, anatomy and environment converge and interrelate. Here we review the current state and sketch the future impact of accelerating advances in technology for behavioral studies, focusing on rodents as an exemplar. We frame our analysis in three dimensions: (1) degree of experimental constraint, (2) dimensionality of data, and (3) level of description. We argue that ethomics, fueled by “big behavioral data”, presents challenges proportionate to its promise and describe how these challenges might be met through opportunities afforded by the two rival conceptual legacies of 20, century behavioral science, ethology and psychology. We conclude that although “ethomes” are not the goal, big behavioral data has the potential to transform and unify these two disciplines and to solidify the foundations of others, including neuroscience, particularly if the data is as open as it is copious and quantitative."
Context-Dependent Modulations in Acoustic Features of Zebra Finch Distance Calls: Insights from a Novel Goal-Directed Vocalization Paradigm,"Zohreh,Amirreza,Pouya,Mahsa,Mohammad Reza,Mahdi,Zohreh,Amirreza,Pouya,Mahsa,Mohammad Reza,Mahdi,Zohreh,Amirreza,Pouya,Mahsa,Mohammad Reza,Mahdi",
Joint distribution of nuclear and cytoplasmic mRNA levels in stochastic models of gene expression: analytical results and parameter inference,"Yiling,Juraj,Zhixing,Ramon,Yiling,Juraj,Zhixing,Ramon,Yiling,Juraj,Zhixing,Ramon","Common stochastic models of gene expression predict the analytical distribution of the mRNA level per cell but not at subcellular resolution. Here, for a wide class of models of transcription initiation, we obtain an exact steady-state solution for the joint distribution of nuclear and cytoplasmic mRNA levels per cell. Correcting the solution for extrinsic noise and fitting to single human cell data, we precisely quantify the extent of bursty expression in thousands of genes and associate it with their biological functions"
Expansion of a bacterial operon during cancer treatment ameliorates drug toxicity,"Kai,Wesley A,Than S,Taylor,Christine A,Edwin F,Cecilia,Vaibhav,Dalila,Paige,Benjamin GH,Peter,Darren,Jessie A,Matthew D,Erin L,Alan P,Chloe E,Peter J,Kai,Wesley A,Than S,Taylor,Christine A,Edwin F,Cecilia,Vaibhav,Dalila,Paige,Benjamin GH,Peter,Darren,Jessie A,Matthew D,Erin L,Alan P,Chloe E,Peter J,Kai,Wesley A,Than S,Taylor,Christine A,Edwin F,Cecilia,Vaibhav,Dalila,Paige,Benjamin GH,Peter,Darren,Jessie A,Matthew D,Erin L,Alan P,Chloe E,Peter J","Dose-limiting toxicities remain a major barrier to drug development and therapy, revealing the limited predictive power of human genetics. Herein, we demonstrate the utility of a more comprehensive approach to studying drug toxicity through longitudinal study of the human gut microbiome during colorectal cancer (CRC) treatment (​​,) coupled to cell culture and mouse experiments. 16S rRNA gene sequencing revealed significant shifts in gut microbial community structure during oral fluoropyrimidine treatment across multiple patient cohorts, in mouse small and large intestinal contents, and in patient-derived ex vivo communities. Metagenomic sequencing revealed marked shifts in pyrimidine-related gene abundance during oral fluoropyrimidine treatment, including enrichment of the preTA operon, which is sufficient for the inactivation of active metabolite 5-fluorouracil (5-FU). preTA+ bacteria depleted 5-FU in gut microbiota grown ex vivo and the mouse distal gut. Germ-free and antibiotic-treated mice experienced increased fluoropyrimidine toxicity, which was rescued by colonization with the mouse gut microbiota, preTA+ E. coli, or preTA-high CRC patient stool. Finally, preTA abundance was negatively associated with fluoropyrimidine toxicity in patients. Together, these data support a causal, clinically relevant interaction between a human gut bacterial operon and the dose-limiting side effects of cancer treatment. Our approach is generalizable to other drugs, including cancer immunotherapies, and provides valuable insights into host-microbiome interactions in the context of disease."
Improving Split-HaloTag through Computational Protein Engineering,"Jonas,Lennart,Yin-Hsi,Julien,Kai,Jonas,Lennart,Yin-Hsi,Julien,Kai,Jonas,Lennart,Yin-Hsi,Julien,Kai","Split-HaloTag can be used to transform transient molecular interactions into permanent marks through chemical labeling, thereby enabling the recording of transient physiological events in individual cells. However, applications of split-HaloTag-based recorders can be limited by slow labeling rates. To address this issue, we have engineered an improved version of cpHaloΔ, the larger fragment of the split-HaloTag system. Using computational techniques, we identified stabilizing point mutations and designed a structured linker connecting the original N and C termini of the circular permutated protein, thereby significantly improving thermostability and activity of cpHaloΔ. These modifications decrease the time and substrate concentrations required for split-HaloTag-based assays and can expand their dynamic range and sensitivity."
"An , platform for the enzymatic characterization of the rhomboid protease RHBDL4","Satarupa,Mac Kevin E.,Stancho,Kathrin,Marina,Raghad,Lawrence J.,Diego F.,Kristina,Ambuj,Javier,Anthony J.,Marius K.,Rommie,Kvido,Sonya E.,Satarupa,Mac Kevin E.,Stancho,Kathrin,Marina,Raghad,Lawrence J.,Diego F.,Kristina,Ambuj,Javier,Anthony J.,Marius K.,Rommie,Kvido,Sonya E.,Satarupa,Mac Kevin E.,Stancho,Kathrin,Marina,Raghad,Lawrence J.,Diego F.,Kristina,Ambuj,Javier,Anthony J.,Marius K.,Rommie,Kvido,Sonya E.",
Malaria parasites require a divergent heme oxygenase for apicoplast gene expression and biogenesis,"Amanda Mixon,Yasaman,Armiyaw S.,Shota,Akinobu,Celine,Kouhei,James A.,Jose M. M.,Daniel E.,Paul A.,Amanda Mixon,Yasaman,Armiyaw S.,Shota,Akinobu,Celine,Kouhei,James A.,Jose M. M.,Daniel E.,Paul A.,Amanda Mixon,Yasaman,Armiyaw S.,Shota,Akinobu,Celine,Kouhei,James A.,Jose M. M.,Daniel E.,Paul A.","Malaria parasites have evolved unusual metabolic adaptations that specialize them for growth within heme-rich human erythrocytes. During blood-stage infection, , parasites internalize and digest abundant host hemoglobin within the digestive vacuole. This massive catabolic process generates copious free heme, most of which is biomineralized into inert hemozoin. Parasites also express a divergent heme oxygenase (HO)-like protein (PfHO) that lacks key active-site residues and has lost canonical HO activity. The cellular role of this unusual protein that underpins its retention by parasites has been unknown. To unravel PfHO function, we first determined a 2.8 Å-resolution X-ray structure that revealed a highly α-helical fold indicative of distant HO homology. Localization studies unveiled PfHO targeting to the apicoplast organelle, where it is imported and undergoes N-terminal processing but retains most of the electropositive transit peptide. We observed that conditional knockdown of PfHO was lethal to parasites, which died from defective apicoplast biogenesis and impaired isoprenoid-precursor synthesis. Complementation and molecular-interaction studies revealed an essential role for the electropositive N-terminus of PfHO, which selectively associates with the apicoplast genome and enzymes involved in nucleic acid metabolism and gene expression. PfHO knockdown resulted in a specific deficiency in levels of apicoplast-encoded RNA but not DNA. These studies reveal an essential function for PfHO in apicoplast maintenance and suggest that , repurposed the conserved HO scaffold from its canonical heme-degrading function in the ancestral chloroplast to fulfill a critical adaptive role in organelle gene expression."
Kilohertz volumetric imaging of in-vivo dynamics using squeezed light field microscopy,"Zhaoqiang,Ruixuan,Daniel A,Diego,Liron,Ohr,Wenjun,Calvin K.,William C.,Aryan,Enbo,Jing,Gerard C.L.,Rongguang,Peyman,Tzung K.,Liang,Zhaoqiang,Ruixuan,Daniel A,Diego,Liron,Ohr,Wenjun,Calvin K.,William C.,Aryan,Enbo,Jing,Gerard C.L.,Rongguang,Peyman,Tzung K.,Liang,Zhaoqiang,Ruixuan,Daniel A,Diego,Liron,Ohr,Wenjun,Calvin K.,William C.,Aryan,Enbo,Jing,Gerard C.L.,Rongguang,Peyman,Tzung K.,Liang",
BIMSA: Accelerating Long Sequence Alignment Using Processing-In-Memory,"Alejandro,Ivan,Quim,Juan,Santiago,Onur,Miquel,Alejandro,Ivan,Quim,Juan,Santiago,Onur,Miquel,Alejandro,Ivan,Quim,Juan,Santiago,Onur,Miquel","Motivation: Recent advances in sequencing technologies have stressed the critical role of sequence analysis algorithms and tools in genomics and healthcare research. In particular, sequence alignment is a fundamental building block in many sequence analysis pipelines and is frequently a performance-critical bottleneck both in time and memory. Classical sequence alignment algorithms are based on dynamic programming and often require quadratic time and memory with respect to the sequence length. As a result, classic sequence alignment algorithms fail to scale with increasing sequence lengths and quickly become memory-bound due to data-movement penalties. Results: Processing-In-Memory (PIM) is an emerging architectural paradigm that seeks to accelerate memory-bound algorithms by bringing computation closer to the data to mitigate data-movement penalties. This work presents BIMSA (Bidirectional In-Memory Sequence Alignment), a PIM-optimized implementation of the state-of-the-art sequence alignment algorithm BiWFA (Bidirectional Wavefront Alignment), incorporating hardware-aware optimizations for a production-ready PIM architecture (UPMEM). BIMSA achieves speedups up to 22.24x (11.95x on average) compared to state-of-the-art PIM-enabled implementations of sequence alignment algorithms, and supports aligning sequences of thousands of bases, exceeding the limitations of current PIM-accelerated implementations. BIMSA also achieves speedups up to 5.84x (2.83x on average) compared to the most efficient multicore CPU implementation of BiWFA. Most notably, BIMSA exhibits linear scalability with the number of compute units, enabling further performance improvements with upcoming PIM architectures equipped with more compute units and achieving speedups up to 9.56x (4.7x on average)."
"Using Glittr.org to find, compare and re-use online materials for training and education","Geert,Yann,Monique,Patricia,Geert,Yann,Monique,Patricia,Geert,Yann,Monique,Patricia","A wealth of excellent training and educational materials for the computational life sciences are scattered around the Internet, but they can be hard to find. Many materials reside in public Git repositories that are hosted on platforms such as GitHub and GitLab. Glittr.org is a manually curated database of Git repositories, which enables users to find educational materials that would otherwise be hard to identify. With the application, users can search and compare educational materials based on topic and author, but also on engagement metrics such as stargazers (bookmarks) and recency (days since last commit). Glittr.org currently contains 664 entries, which are assigned to six different categories within the domain of computational life sciences. By analysing the database, we reveal insights in the availability of materials per topic, collaboration patterns of developers, and licensing practices. This knowledge helps to understand in which areas open educational materials are scant, the importance of Git for collaboration on educational materials and how licensing can be improved to enhance sharing and reuse. Taken together, we show that Glittr.org contains a wealth of connected and openly available metadata. Therefore, it enhances adherence to the FAIR (Findable, Accessible, Interoperable, Reusable) principles, which benefits learners, teachers and trainers in the entire life sciences community and beyond."
SAMPL-seq reveals micron-scale spatial hubs in the human gut microbiome,"Miles,Shijie,Ravi U.,Liyuan,Yiming,Jeongchan,Thomas,Deirdre,Yiming,Florencia,Guillaume,Harris H.,Miles,Shijie,Ravi U.,Liyuan,Yiming,Jeongchan,Thomas,Deirdre,Yiming,Florencia,Guillaume,Harris H.,Miles,Shijie,Ravi U.,Liyuan,Yiming,Jeongchan,Thomas,Deirdre,Yiming,Florencia,Guillaume,Harris H.",
A ChatGPT Assisted Reading Protocol for Undergraduate Research Students Engaging with Biophysics Literature,"Marcus,Gonzalo R.,Anne V.,Frank X.,Marcus,Gonzalo R.,Anne V.,Frank X.,Marcus,Gonzalo R.,Anne V.,Frank X.","A major challenge for undergraduate students engaged in research is reading scientific literature. This is especially true for students engaged in biophysics research, where many of the concepts, definitions, and experimental methodologies discussed may be beyond the material covered in standard undergraduate courses. Without specific guidance on how to read journal articles, students can become overwhelmed, which may lead to students reading fewer papers and not engaging with the scientific literature related to their research. To help undergraduate students effectively engage with scientific papers, we have developed a guided reading protocol that combines pre-reading strategies, structured notetaking, and the use of ChatGPT. Using ChatGPT in this protocol allows students to clarify unfamiliar terms and concepts in an interactive way that helps them to integrate the paper’s content into their own understanding. To test the impact of this protocol, participants in this study were given an initial survey to determine their comfort and experience with reading scientific literature. After this they were given an abridged biophysics paper and the ChatGPT assisted guided reading protocol. The ChatGPT transcripts were analyzed using open coding and the students were given a post-study survey to determine how they felt about their experience using ChatGPT. We found that most students do not appear to engage with the literature regularly, which may be due to barriers they encounter in terms of new and unknown content. Analyzing their conversations with the chatbot, we observed that students asked for definitions, explanations of unknown concepts, summaries of text or their own understanding, and simplifications of the text. Overall, students reported in the post-implementation survey that using ChatGPT was a positive experience and all students reported that they expected to use ChatGPT in the future when reading scientific literature. From this work, we believe that this new chatbot assisted reading protocol may be a way to keep novice biophysics students from becoming discouraged when they begin reading scientific literature and help keep them engaged with the current literature in the field."
Functional clustering of splice-altering variants in whole genome sequencing data reveals hidden heritability in rare variant disorder,"Yan,Charlotte,Ilia,Paul J.,Brendan,Maarten,Eleonora,R. Jeroen,Leonard,Johnathan,Jan,Kevin,Yan,Charlotte,Ilia,Paul J.,Brendan,Maarten,Eleonora,R. Jeroen,Leonard,Johnathan,Jan,Kevin,Yan,Charlotte,Ilia,Paul J.,Brendan,Maarten,Eleonora,R. Jeroen,Leonard,Johnathan,Jan,Kevin","Explaining missing heritability in rare disorders requires effective methods to interpret genetic variants. Sequence-to-function models such as SpliceAI support discovery of splice altering variants but filtering their output to identify pathogenic mutations remains challenging. We developed SpliPath to address 2 unmet needs in this process. First, SpliPath links the output of SpliceAI with reference transcriptomics data. This allows users to identify genetic variants that induce unannotated splice isoforms selectively expressed in disease models or patient tissue. Second, SpliPath aggregates variants with similar functional consequences into collapsed splicing quantitative trait loci (csQTLs) for more powerful genetic association analyses. We first used SpliPath to annotate whole genome sequencing (WGS) of 9,467 ALS patients and controls using RNAseq data from an iPSC model of TDP-43 dysfunction. Through this, SpliPath identified 53 variants predicted to enhance cryptic exon (CE) retention events associated with a core ALS pathomechanism. We then applied SpliPath to 294 ALS patients where both WGS and RNAseq were available and discovered missing genetic risk in the known ALS gene KIF5A. This revealed a first of kind intronic mutation hotspot that was validated using minigene reporter assays. Finally, using the same RNAseq data we then predicted 754 candidate csQTL for an independent WGS cohort of 6,625 ALS patients and 2,472 controls. Unbiased genomewide csQTL association testing successfully recovered KIF5A and nominated EPG5 as a potential pathogenic gene. These effects were undetectable using simplistic SpliceAI gene burden tests. Collectively, our study demonstrates the utility of SpliPath for uncovering missing heritability in rare disorders."
Data-driven evaluation of suitable immunogens for improved antibody selection,"Katharina,Hlin,Henrik,Kaj,Charlotte E,Sanne,Katharina,Hlin,Henrik,Kaj,Charlotte E,Sanne,Katharina,Hlin,Henrik,Kaj,Charlotte E,Sanne","Antibodies are indispensable in laboratory and clinical applications due to their high specificity and affinity for protein antigens. However, selecting the right protein fragments as immunogens for antibody production remains challenging. Leveraging the Human Protein Atlas, this study systematically evaluates immunogen properties aiming to identify key factors that influence their suitability. Antibodies were classified as successful or unsuccessful based on standardized validation experiments, and the structural and functional properties of their immunogens were analysed. Results indicated that longer immunogens often resulted in more successful but less specific antibodies. Shorter immunogens (50 residues or fewer) with disordered or unfolded regions at the N- or C-terminus and long coil stretches were more likely to generate successful antibodies. Conversely, immunogens with high beta sheet content, multiple secondary structure elements, transmembrane regions, or disulfide bridges were associated with poorer antibody performance. Post-translational modification sites within immunogens appeared to mark beneficial regions for antibody generation. To support antibody selection, a novel R package, immunogenViewer, was developed, enabling researchers to easily apply these insights when immunogen sequences are disclosed. By providing a deeper understanding of immunogen suitability, this study promotes the development of more effective antibodies, ultimately addressing issues of reproducibility and reliability in antibody-based research. The findings are highly relevant to the research community, as end-users often lack control over the immunogen selection process in antibody production."
"When crayfish make news, headlines are correct but still misleading","Zen,Zen,Zen",
A theoretical basis for cell deaths,"Yusuke,Shuhei A.,Tetsuya J.,Yusuke,Shuhei A.,Tetsuya J.,Yusuke,Shuhei A.,Tetsuya J.","Understanding deaths and life-death boundaries of cells is a fundamental challenge in biological sciences. In this study, we present a theoretical framework for investigating cell death. We conceptualize cell death as a controllability problem within dynamical systems, and compute the life-death boundary through the development of “stoichiometric rays”. This method utilizes enzyme activity as control parameters, exploiting the inherent property of enzymes to enhance reaction rates without affecting thermodynamic potentials. This approach facilitates the efficient evaluation of the global controllability of models. We demonstrate the utility of our framework using its application to a toy metabolic model, where we delineate the life-death boundary. The formulation of cell death through mathematical principles provides a foundation for the theoretical study of cellular mortality."
